,Show ID,Show Name,Genre,TV-Rating,Description,Available on Hulu,Available on Netflix
47,80996949,Adam Ruins Everything,TV Comedies,TV-14,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",No,Yes
48,80188953,Afflicted,"Docuseries, Reality TV",TV-MA,Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.,No,Yes
49,70298341,Africa,"British TV Shows, Docuseries, International TV Shows",TV-PG,"This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.",No,Yes
50,80998491,After Life,"British TV Shows, International TV Shows, TV Comedies",TV-MA,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",No,Yes
51,80156950,Against the Tide,"Crime TV Shows, International TV Shows, TV Dramas",TV-14,A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.,No,Yes
52,80221942,Age Gap Love,"British TV Shows, Reality TV, Romantic TV Shows",TV-MA,"Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",No,Yes
53,80136456,Age of Glory,"International TV Shows, Romantic TV Shows, TV Dramas",TV-PG,"Amid the thriving nightlife of 1960s Kuala Lumpur, three Chinese friends – a showgirl, her housekeeper and a chanteuse – find love and heartbreak.",No,Yes
54,81004113,Age of Rebellion,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.",No,Yes
55,80208213,Age of Tanks,"Docuseries, International TV Shows, Science & Nature TV",TV-PG,The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.,No,Yes
56,81157169,Agent,"International TV Shows, TV Dramas",TV-MA,"A former footballer tries to make it as a player agent in the world of African soccer, but a secret from his past threatens to destroy everything.",No,Yes
57,80122232,Agent Raghav,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-14,"A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds.",No,Yes
58,80198505,Aggretsuko,"Anime Series, International TV Shows",TV-14,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.",No,Yes
59,80174280,Ainori Love Wagon: Asian Journey,"International TV Shows, Reality TV, Romantic TV Shows",TV-MA,"Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.",No,Yes
60,80221943,Ainsley Eats the Streets,"British TV Shows, Docuseries, International TV Shows",TV-PG,Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.,No,Yes
